"export-plot data (NetLogo 6.0)"
"Complex Networks Model 6.0.nlogo"
"01/20/2017 14:04:38:479 +0100"

"MODEL SETTINGS"
"length-k","tlayout","size-n","spring-k","onecommand","gravity","rep-k","script"
"1","""spring""","0.5","0.6","""script1""","0.05","0.086","""clear\nBA-PA 300 2 1\nprint diameter\nER-RN 0 0.001\nprint diameter\ncompute-centralities\nlayout \""tutte\"""""

"""Degree Distribution"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","37","0","200","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","1","1","5","36"

"""default"""
"x","y","color","pen down?"
"1","200","5","true"
"2","56","5","true"
"3","15","5","true"
"4","6","5","true"
"5","9","5","true"
"6","4","5","true"
"8","1","5","true"
"9","3","5","true"
"10","2","5","true"
"11","1","5","true"
"21","1","5","true"
"25","1","5","true"
"36","1","5","true"
